,id,name,package,type,community
42,com.eteks.sweethome3d.io.FileUserPreferences,FileUserPreferences,com.eteks.sweethome3d.io,Structure,Controller-Wizard-Texture
43,com.eteks.sweethome3d.io.FileUserPreferences.PortablePreferences,FileUserPreferences.PortablePreferences,com.eteks.sweethome3d.io,Structure,Controller-Wizard-Texture
44,com.eteks.sweethome3d.io.FileUserPreferences.PreferencesURLContent,FileUserPreferences.PreferencesURLContent,com.eteks.sweethome3d.io,Structure,Controller-Wizard-Texture
45,com.eteks.sweethome3d.io.HomeContentContext,HomeContentContext,com.eteks.sweethome3d.io,Structure,Furniture-Catalog-Imported
46,com.eteks.sweethome3d.io.HomeFileRecorder,HomeFileRecorder,com.eteks.sweethome3d.io,Structure,Controller-Wizard-Texture
47,com.eteks.sweethome3d.io.HomeURLContent,HomeURLContent,com.eteks.sweethome3d.io,Structure,Furniture-Catalog-Imported
48,com.eteks.sweethome3d.io.HomeXMLExporter,HomeXMLExporter,com.eteks.sweethome3d.io,Structure,Home-Print-XML
49,com.eteks.sweethome3d.io.HomeXMLExporter.PieceOfFurnitureExporter,HomeXMLExporter.PieceOfFurnitureExporter,com.eteks.sweethome3d.io,Structure,Home-Print-XML
50,com.eteks.sweethome3d.io.HomeXMLHandler,HomeXMLHandler,com.eteks.sweethome3d.io,Structure,Home-Controller-Panel
51,com.eteks.sweethome3d.io.HomeXMLHandler.JoinedWall,HomeXMLHandler.JoinedWall,com.eteks.sweethome3d.io,Structure,Home-Controller-Panel
52,com.eteks.sweethome3d.io.ObjectXMLExporter,ObjectXMLExporter,com.eteks.sweethome3d.io,Structure,Home-Print-XML
53,com.eteks.sweethome3d.io.URLContentClassLoader,URLContentClassLoader,com.eteks.sweethome3d.io,Structure,Controller-Wizard-Texture
54,com.eteks.sweethome3d.io.XMLWriter,XMLWriter,com.eteks.sweethome3d.io,Structure,Home-Print-XML
55,com.eteks.sweethome3d.j3d.Component3DManager,Component3DManager,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
56,com.eteks.sweethome3d.j3d.Component3DManager.ObservedCanvas3D,Component3DManager.ObservedCanvas3D,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
57,com.eteks.sweethome3d.j3d.Component3DManager.RenderingErrorListenerManager,Component3DManager.RenderingErrorListenerManager,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
58,com.eteks.sweethome3d.j3d.Component3DManager.RenderingErrorObserver,Component3DManager.RenderingErrorObserver,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
59,com.eteks.sweethome3d.j3d.Component3DManager.RenderingObserver,Component3DManager.RenderingObserver,com.eteks.sweethome3d.j3d,Structure,Home-Controller-Panel
60,com.eteks.sweethome3d.j3d.DAELoader,DAELoader,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
61,com.eteks.sweethome3d.j3d.DAELoader.DAEHandler,DAELoader.DAEHandler,com.eteks.sweethome3d.j3d,Structure,Furniture-Home-Table
