source,target,label
n10095,n1551,returnType
n10098,n10175,hasVariable
n10098,n12509,hasScript
n10098,n1817,hasScript
n10098,n3215,hasScript
n10098,n5272,hasVariable
n10098,n9245,hasVariable
n10099,n7691,invokes
n1010,n1542,returnType
n1010,n3879,invokes
n10100,n4126,invokes
n10101,n191,invokes
n10101,n4777,invokes
n10105,n10925,invokes
n10106,n3569,invokes
n10107,n12219,invokes
n10107,n5913,invokes
n10107,n6112,invokes
n10108,n11718,typed
n10109,n11094,hasVariable
n10109,n12732,hasScript
n10109,n3308,hasScript
n10109,n3671,hasVariable
n10109,n4042,hasVariable
n10109,n5547,hasScript
n10109,n5997,hasScript
n10109,n7306,hasScript
n10109,n8131,hasScript
n10109,n9023,hasScript
n10109,n9865,hasScript
n10110,n6991,invokes
n10111,n866,invokes
n10113,n13495,hasScript
n10113,n2456,hasScript
n10113,n3654,hasScript
n10113,n3728,hasScript
n10113,n5854,hasScript
n10113,n73,hasScript
n10114,n4126,invokes
n10114,n7905,invokes
n10115,n10467,hasScript
n10115,n1163,hasScript
n10115,n4736,hasScript
n10115,n517,hasScript
n10115,n5206,hasScript
n10115,n7078,hasScript
n10115,n9215,hasScript
n10116,n4989,invokes
n10116,n5296,invokes
n10116,n7607,invokes
n10119,n5667,hasScript
n10119,n7590,specializes
n1012,n423,invokes
n1012,n6460,invokes
n10120,n11035,invokes
n10120,n11708,invokes
n10120,n11733,invokes
n10120,n2736,invokes
n10120,n2980,invokes
n10120,n3279,invokes
n10120,n4387,invokes
n10120,n4454,invokes
n10120,n4891,invokes
n10120,n5999,invokes
n10120,n6792,invokes
n10120,n6914,invokes
n10120,n764,invokes
n10120,n8357,invokes
n10120,n9182,invokes
n10121,n10030,invokes
n10121,n12348,invokes
n10121,n12386,invokes
n10121,n1607,invokes
n10121,n1923,invokes
n10121,n4615,invokes
n10121,n4785,invokes
n10121,n5096,invokes
n10121,n5525,invokes
n10121,n5860,invokes
n10121,n6902,invokes
n10121,n8436,invokes
n10121,n9263,invokes
n10121,n9564,invokes
n10122,n11741,invokes
n10122,n3835,invokes
n10122,n4591,invokes
n10122,n6306,invokes
n10124,n1553,hasScript
n10124,n4958,hasVariable
n10124,n68,hasScript
n10124,n7847,hasScript
n10124,n8241,hasScript
n10124,n9898,hasScript
n10129,n10146,invokes
n10129,n1114,invokes
n10129,n2078,invokes
n10129,n2219,invokes
n10129,n2952,invokes
n10129,n5073,invokes
n10129,n8558,invokes
n10129,n9105,invokes
n10131,n10627,invokes
n10131,n2266,invokes
n10131,n2538,invokes
n10131,n2696,hides
n10131,n889,hasParameter
n10132,n13032,hasVariable
n10132,n1656,hasScript
n10132,n5007,specializes
n10132,n7149,hasScript
n10133,n1580,invokes
n10133,n5006,invokes
n10133,n8280,invokes
n10135,n8912,typed
n10136,n1073,invokes
n10136,n13120,invokes
n10136,n1953,invokes
n10136,n2089,invokes
n10136,n2627,invokes
n10136,n4530,invokes
n10136,n4815,invokes
n10136,n4829,invokes
n10136,n6247,invokes
n10136,n8914,invokes
n10136,n9584,invokes
n10138,n10020,invokes
n10138,n10695,invokes
n10138,n2853,invokes
n10139,n10901,invokes
n10139,n11283,invokes
n10139,n114,invokes
n10139,n12232,invokes
n10139,n6715,invokes
n10139,n8614,invokes
