"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","level","name","selected","shared name"
,"0.0","0.0","0",,"false","CatalogLight HomeFurnitureController HomeFurnitureController.FurnitureHorizontalAxis HomeFurnitureController.FurnitureModificationUndoableEdit HomeFurnitureController.FurniturePaint HomeFurnitureController.FurnitureShininess HomeFurnitureController.ModifiedDoorOrWindow HomeFurnitureController.ModifiedFurnitureGroup HomeFurnitureController.ModifiedLight HomeFurnitureController.ModifiedPieceOfFurniture HomeFurnitureController.Property HomeLight HomeLight.Property Light PlanController.LightPowerModificationState","3.907","15",,"C38760","false","C38760"
,"0.0","0.0","0",,"false","ExportableView.FormatType MultipleLevelsPlanPanel MultipleLevelsPlanPanel.LanguageChangeListener PlanComponent PlanComponent.IndicatorType PlanComponent.PaintMode PlanComponent.PieceOfFurnitureModelIcon PlanComponent.PieceOfFurniturePlanIcon PlanComponent.PieceOfFurnitureTopViewIcon PlanComponent.PlanRulerComponent PlanComponent.SVGSupport PlanComponent.SetEditionActivatedAction PlanComponent.UserPreferencesChangeListener PlanView.CursorType Sash","3.907","15",,"C38761","false","C38761"
,"0.0","0.0","0",,"false","Base64 Base64.OutputStream ContentRecording DefaultHomeInputStream DefaultHomeInputStream.CopiedInputStream DefaultHomeInputStream.HomeObjectInputStream HomeAppletRecorder HomeAppletRecorder.LengthOutputStream HomeContentContext HomeFileRecorder HomeXMLHandler InterruptedRecorderException NotEnoughSpaceRecorderException RecorderException ViewerHelper","3.907","15",,"C38762","false","C38762"
,"0.0","0.0","0",,"false","AppletUserPreferences CatalogTexture DefaultLibrary DefaultTexturesCatalog FileUserPreferences FileUserPreferences.PortablePreferences FileUserPreferences.PreferencesURLContent Library PluginManager.PluginLibrary TextureChoiceComponent.TexturePanel.TextureListCellRenderer TextureChoiceComponent.TexturePanel.TexturesCatalogListModel TextureChoiceComponent.TexturePanel.TexturesCatalogListModel.TexturesCatalogListener TexturesCatalog TexturesCategory","3.807","14",,"C38763","false","C38763"
,"0.0","0.0","0",,"false","AbstractPhotoController AbstractPhotoController.EnvironmentChangeListener AbstractPhotoController.Property AspectRatio HomeEnvironment HomeEnvironment.DrawingMode HomeEnvironment.Property VideoController VideoController.HomeEnvironmentChangeListener VideoController.Property VideoPanel VideoPanel.ActionType VideoPanel.LanguageChangeListener","3.7","13",,"C38764","false","C38764"
,"0.0","0.0","0",,"false","CatalogDoorOrWindow DoorOrWindow FurnitureController FurnitureController.AlignedPieceOfFurniture FurnitureController.AlignmentAction HomeDoorOrWindow HomeFurnitureGroup HomeFurnitureGroup.LocationAndSizeChangeListener HomePieceOfFurniture PieceOfFurniture PlanController.PieceOfFurnitureHeightState PlanController.PieceOfFurnitureResizeState PlanController.ResizedPieceOfFurniture","3.7","13",,"C38765","false","C38765"
,"0.0","0.0","0",,"false","Content DefaultPatternTexture FurnitureCatalogListPanel.CatalogCellRenderer FurnitureCatalogTree.CatalogCellRenderer HomeDescriptor IconManager IconManager.IconProxy TextureManager TextureManager.ComparableTexture TextureManager.ComparableTextureAngleTuple TextureManager.RotatedContentKey TextureManager.TextureObserver Wall3D.ModelRotationTuple","3.7","13",,"C38766","false","C38766"
,"0.0","0.0","0",,"false","Baseboard HomeTexture HomeXMLHandler.JoinedWall Object3DBranch PlanController.JoinedWall RoomController.ModifiedWall RoomController.ModifiedWallSide RoomController.WallSide Wall Wall.Property Wall3D Wall3D.DoorOrWindowArea WallController.ModifiedWall","3.7","13",,"C38767","false","C38767"
,"0.0","0.0","0",,"false","Camera Camera.Lens Camera.Property HomeComponent3D.CameraInterpolator HomeController3D.ObserverCameraState ObserverCamera ObserverCamera.Property PhotoController PhotoController.CameraChangeListener PhotoController.HomeCameraChangeListener PhotoController.Property PlanController.CameraElevationState PlanController.CameraYawRotationState","3.7","13",,"C38768","false","C38768"
,"0.0","0.0","0",,"false","BackgroundImage BackgroundImageWizardController.BackgroundImageUndoableEdit DimensionLine DimensionLine.Property Ground3D Ground3D.LevelAreas HomeComponent3D.RotateCameraPitchAction HomeObject Label.Property Level Level.Property MultipleLevelsPlanPanel.LevelLabel Room.Property","3.7","13",,"C38769","false","C38769"
