"CD_AnnotatedMembers","CD_AnnotatedMembers_Overlap","CD_AnnotatedMembers_Pvalue","CD_AnnotatedMembers_Size","CD_CommunityName","CD_Labeled","CD_MemberList","CD_MemberList_LogSize","CD_MemberList_Size","diffusion_input","diffusion_output_1_heat","diffusion_output_1_rank","diffusion_output_heat","diffusion_output_rank","HiDeF_persistence","level","name","selected","shared name"
,"0.0","0.0","0",,"false","AbstractLocator AttributeFigure ColorMap EllipseFigure FigureAttributes FigureSelection ImageFigure Locator OffsetLocator Storable StorableInput StorableOutput","3.585","12","0.0","8.984990747833396E-10","44","1.9318745351291424E-15","44","6","3","C32287","false","C32287"
,"0.0","0.0","0",,"false","BoxHandleKit EastHandle LocatorHandle NorthEastHandle NorthHandle NorthWestHandle RelativeLocator SouthEastHandle SouthHandle SouthWestHandle WestHandle","3.459","11","0.0","5.454129535220874E-8","33","1.767382763768453E-13","33","66","2","C32288","false","C32288"
,"0.0","0.0","0",,"false","DrawApplet Filler HJDError Iconkit PaletteButton PaletteIcon PaletteLayout PaletteListener SleeperThread Tool ToolButton","3.459","11","0.0","2.9868262681486394E-6","19","1.5130207883972087E-11","20","25","3","C32289","false","C32289"
,"0.0","0.0","0",,"false","ArrowTip ElbowConnection ElbowHandle LineConnection LineDecoration LineFigure NothingApplet PolyLineFigure PolyLineHandle PolyLineLocator ScribbleTool","3.459","11","0.0","8.857751307477829E-10","47","1.912813816000162E-15","47","16","3","C32290","false","C32290"
,"0.0","0.0","0",,"false","ChangeConnectionEndHandle ChangeConnectionHandle ChangeConnectionStartHandle ConnectionFigure ConnectionHandle ConnectionTool Connector ElbowConnection ElbowHandle LineConnection NothingApplet","3.459","11","0.0","8.857751307477829E-10","46","1.912813816000162E-15","46","6","3","C32291","false","C32291"
,"0.0","0.0","0",,"false","AlignCommand ChangeAttributeCommand Command CommandButton CommandChoice CommandMenu GridConstrainer GroupCommand InsertImageCommand ToggleGridCommand UngroupCommand","3.459","11","0.0","1.3028580952509337E-4","6","0.0042440457008414215","2","6","4","C32292","false","C32292"
,"0.0","0.0","0",,"false","AbstractFigure BringToFrontCommand CompositeFigure FigureChangeEventMulticaster FigureChangeListener FigureEnumeration FigureEnumerator GroupFigure ReverseFigureEnumerator ReverseVectorEnumerator","3.322","10","0.0","5.720852822788724E-8","31","1.824927608753235E-13","31","5","2","C32293","false","C32293"
,"0.0","0.0","0",,"false","ConnectedTextTool CreationTool FloatingTextField HJDError PertApplet PertFigureCreationTool TextHolder TextTool URLTool","3.17","9","0.0","5.7209894714443896E-8","30","1.8249421378906914E-13","30","16","2","C32294","false","C32294"
,"0.0","0.0","0",,"false","AttributeFigure ColorMap EllipseFigure FigureAttributes FigureSelection ImageFigure Storable StorableInput StorableOutput","3.17","9","0.0","1.3050852885514357E-11","53","1.941216237696268E-17","53","7","4","C32295","false","C32295"
,"0.0","0.0","0",,"false","AlignCommand ChangeAttributeCommand Command CommandButton CommandChoice CommandMenu GridConstrainer GroupCommand ToggleGridCommand","3.17","9","0.0","3.2870020095916034E-6","13","0.08639043875193678","1","15","5","C32296","false","C32296"
