id,fullName,name,type
n10041,@java+method#com.fsck.k9.mailstore.migrations.MigrationTo32.updateDeletedColumnFromFlags(com.fsck.k9.mailstore.SQLiteDatabase),updateDeletedColumnFromFlags,Operation
n10042,@java+method#com.fsck.k9.mail.Multipart.getPreamble(),getPreamble,Operation
n10043,@java+method#com.fsck.k9.ui.ContactBadge.isAssigned(),isAssigned,Operation
n10044,@java+method#com.fsck.k9.K9.confirmDiscardMessage(),confirmDiscardMessage,Operation
n10045,@java+constructor#com.fsck.k9.activity.compose.RecipientAdapter.RecipientTokenHolder.RecipientTokenHolder(com.fsck.k9.fragment.View),RecipientTokenHolder,Constructor
n10046,@java+field#com.fsck.k9.fragment.MessageListFragment.singleAccountMode,singleAccountMode,Variable
n10047,@java+field#com.fsck.k9.mail.ssl.LocalKeyStore.mKeyStoreFile,mKeyStoreFile,Variable
n10048,@java+method#com.fsck.k9.provider.MessageProvider.MonitoredCursor.getFloat(int),getFloat,Operation
n10049,@java+method#com.fsck.k9.Account.isNotifyNewMail(),isNotifyNewMail,Operation
n1005,@java+method#com.fsck.k9.mailstore.LocalFolder.setLastSelectedFolderName(java.lang.String),setLastSelectedFolderName,Operation
n10050,@java+package#com.fsck.k9.message.signature,signature,Container
n10051,@java+method#com.fsck.k9.message.html.HttpUriParserTest.ipv6AddressWithTrailingSlash(),ipv6AddressWithTrailingSlash,Operation
n10052,@java+method#com.fsck.k9.Clock.getTime(),getTime,Operation
n10053,@java+method#com.fsck.k9.helper.MergeCursor.getColumnCount(),getColumnCount,Operation
n10054,@java+method#com.fsck.k9.fragment.MessageListFragment.saveSelectedMessages(com.fsck.k9.fragment.Bundle),saveSelectedMessages,Operation
n10055,@java+method#com.fsck.k9.mail.store.imap.mockserver.MockImapServer.MockServerThread.upgradeToTls(java.net.Socket),upgradeToTls,Operation
n10056,@java+method#com.fsck.k9.activity.MessageCompose.onCreateOptionsMenu(com.fsck.k9.fragment.Menu),onCreateOptionsMenu,Operation
n10057,@java+method#com.fsck.k9.mail.Message.getHeaderNames(),getHeaderNames,Operation
n10058,@java+field#com.fsck.k9.activity.setup.AccountSettings.PREFERENCE_MAX_PUSH_FOLDERS,PREFERENCE_MAX_PUSH_FOLDERS,Variable
n10059,@java+method#com.fsck.k9.mail.helper.UrlEncodingHelper.encodeUtf8(java.lang.String),encodeUtf8,Operation
n1006,@java+method#com.fsck.k9.mail.store.imap.ImapConnectionTest.isConnected_afterOpenAndClose_shouldReturnFalse(),isConnected_afterOpenAndClose_shouldReturnFalse,Operation
n10060,@java+method#com.fsck.k9.activity.FolderListFilter.performFiltering(java.lang.CharSequence),performFiltering,Operation
n10061,"@java+method#com.fsck.k9.activity.NotificationDeleteConfirmation.getIntent(com.fsck.k9.controller.Context,java.util.List)",getIntent,Operation
n10062,@java+method#com.fsck.k9.mail.store.imap.NamespaceResponseTest.parse_withEmptyResponseList(),parse_withEmptyResponseList,Operation
n10063,"@java+method#com.fsck.k9.controller.MessagingController.doRefreshRemote(com.fsck.k9.Account,com.fsck.k9.controller.MessagingListener)",doRefreshRemote,Operation
